DAY_NUMBER : 1
START_INDEX : 1
PROBLEM_INSTANCE_NUMBER : 2
6,470,229
6,564,075
9,469,897
9,541,660
8,380,017
8,435,161
8,478,719
8,510,084
2,371,939
2,377,982
2,379,423
2,381,331
2,382,779
2,391,017
2,400,720
2,403,581
2,408,059
2,420,157
2,427,414
2,438,813
2,440,835
2,441,112
2,444,462
2,449,980
2,459,582
2,471,493
2,481,439
4,403,583
4,450,298
4,479,339
4,479,813
4,502,110
7,457,718
7,566,100
1,374,771
1,376,018
1,379,807
1,385,797
1,395,952
1,402,515
1,402,738
1,404,259
1,413,403
1,414,169
1,421,019
1,422,956
1,426,606
1,435,218
1,437,281
1,439,218
1,449,531
1,456,351
1,456,576
1,481,867
3,396,331
3,396,377
3,397,463
3,400,115
3,407,211
3,410,054
3,412,457
3,412,855
3,424,039
3,434,150
3,440,480
3,447,739
3,454,785
3,470,805
3,472,423
3,478,120
3,478,347
3,478,979
3,480,079
5,572,850
